group,subject,session,task,row_index_0,kept_row,state,basin,sn_file,bn_file
HC,FC002,2,renewal,25,26,14,2,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,26,27,1,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,27,28,27,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,28,29,9,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,29,30,2,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,30,31,32,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,31,32,32,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,32,33,32,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,33,34,13,2,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,34,35,32,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,35,36,8,3,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,36,37,19,3,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
