group,subject,session,task,row_index_0,kept_row,state,basin,sn_file,bn_file
HC,FC001,1,extinction,80,81,27,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,81,82,25,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,82,83,14,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,83,84,9,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,84,85,2,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,85,86,4,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,86,87,31,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,87,88,13,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,88,89,13,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,89,90,13,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,90,91,4,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,91,92,2,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,92,93,2,1,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,93,94,26,4,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,94,95,25,2,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
HC,FC001,1,extinction,95,96,19,3,sub-FC001_ses-1_task-extinction_fearROIs_bin_SN.csv,sub-FC001_ses-1_task-extinction_fearROIs_bin_BN.csv
