source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
20,26,3.0,4.0,Safety-like,Global on,6.0,128.0,0.046875,5.0,0.20833333333333334,ITI,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,4.0,Safety-like,Global on,6.0,0.046875,5.0,0.20833333333333334,0.046875
28,24,4.0,4.0,Global on,Global on,4.0,67.0,0.05970149253731343,3.0,0.125,ITI,ITI,4.0,4.0,Global on,Global on,1.0,76.0,0.013157894736842105,1.0,0.041666666666666664,ITI,ITI,4.0,4.0,Global on,Global on,3.0,0.04654359780047133,2.0,0.08333333333333334,0.04654359780047133
26,18,4.0,3.0,Global on,Safety-like,2.0,43.0,0.046511627906976744,2.0,0.08333333333333333,CS-,CS-,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,3.0,Global on,Safety-like,2.0,0.046511627906976744,2.0,0.08333333333333333,0.046511627906976744
26,30,4.0,4.0,Global on,Global on,2.0,43.0,0.046511627906976744,2.0,0.08333333333333333,ITI,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,4.0,Global on,Global on,2.0,0.046511627906976744,2.0,0.08333333333333333,0.046511627906976744
26,14,4.0,2.0,Global on,Threat-like,2.0,43.0,0.046511627906976744,2.0,0.08333333333333333,CS+,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,2.0,Global on,Threat-like,2.0,0.046511627906976744,2.0,0.08333333333333333,0.046511627906976744
7,3,1.0,1.0,Global off,Global off,2.0,43.0,0.046511627906976744,1.0,0.041666666666666664,CS-,CS-,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,2.0,0.046511627906976744,1.0,0.041666666666666664,0.046511627906976744
21,28,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,4.0,Threat-like,Global on,2.0,43.0,0.046511627906976744,2.0,0.08333333333333333,CS-,CS-,2.0,4.0,Threat-like,Global on,-2.0,-0.046511627906976744,-2.0,-0.08333333333333333,0.046511627906976744
21,10,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,1.0,Threat-like,Global off,2.0,43.0,0.046511627906976744,2.0,0.08333333333333333,CS-,CS-,2.0,1.0,Threat-like,Global off,-2.0,-0.046511627906976744,-2.0,-0.08333333333333333,0.046511627906976744
7,2,1.0,1.0,Global off,Global off,2.0,43.0,0.046511627906976744,2.0,0.08333333333333333,ITI,CS+,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,2.0,0.046511627906976744,2.0,0.08333333333333333,0.046511627906976744
7,8,1.0,3.0,Global off,Safety-like,2.0,43.0,0.046511627906976744,2.0,0.08333333333333333,ITI,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,3.0,Global off,Safety-like,2.0,0.046511627906976744,2.0,0.08333333333333333,0.046511627906976744
